scene_id,image_id,target_name,target_candidate_count,integrated_candidate_count,candidate_count_difference,target_top_instance,integrated_top_matched_instance,target_top_score,integrated_top_target_score,integrated_top_score,integrated_top_part_id,integrated_top_iou,top1_match,target_top1_in_integrated_top3,integrated_top1_in_target_top3,integrated_top1_in_target_top5,top3_overlap_count,top3_overlap_fraction,top5_overlap_count,top5_overlap_fraction,predicted_rank_of_target_top,reciprocal_rank,ndcg_at_3,ndcg_at_5,regret,false_positive_count_at_iou_threshold,missed_target_count_at_iou_threshold,mean_matched_iou_at_threshold,median_matched_iou_at_threshold
000000,000010,heuristic_dataset_masks,31,33,2,18,2,0.9851147820120685,0.9168297180180224,0.9354113340377808,16,0.7717282717282717,0,1,0,0,1,0.3333333333333333,2,0.4,2,0.5,0.9757233794277037,0.9803525608881141,0.0682850639940461,3,1,0.7554260819045384,0.755559976385112
000000,000010,known_mask_ranker,31,33,2,18,2,0.9483639001846313,0.9390413165092468,0.9354113340377808,16,0.7717282717282717,0,1,1,1,2,0.6666666666666666,3,0.6,2,0.5,0.995427807341117,0.9961927869359202,0.009322583675384521,3,1,0.7554260819045384,0.755559976385112
000000,000011,heuristic_dataset_masks,31,31,0,6,6,0.9644564335059503,0.9644564335059503,0.934287428855896,16,0.7857489093553078,1,1,1,1,2,0.6666666666666666,4,0.8,1,1.0,0.9951564308241109,0.9961387047763004,0.0,1,1,0.7506614958380666,0.7684610840348545
000000,000011,known_mask_ranker,31,31,0,6,6,0.9488744139671326,0.9488744139671326,0.934287428855896,16,0.7857489093553078,1,1,1,1,2,0.6666666666666666,4,0.8,1,1.0,0.9980734430504957,0.9982545825387533,0.0,1,1,0.7506614958380666,0.7684610840348545
000000,000012,heuristic_dataset_masks,31,32,1,8,16,0.977182405103268,0.9518232345756161,0.9226767420768738,16,0.7408552292632664,0,1,1,1,3,1.0,4,0.8,2,0.5,0.9940982686593147,0.9886606324539219,0.02535917052765191,0,0,0.7402104284161725,0.7678997342298344
000000,000012,known_mask_ranker,31,32,1,8,16,0.940230131149292,0.9345995783805847,0.9226767420768738,16,0.7408552292632664,0,1,0,1,2,0.6666666666666666,4,0.8,2,0.5,0.9983388270169549,0.9941545841975045,0.005630552768707275,0,0,0.7402104284161725,0.7678997342298344
000000,000013,heuristic_dataset_masks,31,32,1,18,22,0.973346139454694,0.9596825774589028,0.932111382484436,16,0.7801621363853124,0,0,0,1,1,0.3333333333333333,3,0.6,13,0.07692307692307693,0.992684836135074,0.9858818466727799,0.013663561995791107,3,2,0.7551178863184775,0.7592171142467
000000,000013,known_mask_ranker,31,32,1,7,22,0.9510975480079651,0.9498759508132935,0.932111382484436,16,0.7801621363853124,0,0,1,1,2,0.6666666666666666,4,0.8,6,0.16666666666666666,0.9992863681250521,0.997111481988593,0.0012215971946716309,3,2,0.7551178863184775,0.7592171142467
000000,000014,heuristic_dataset_masks,31,32,1,11,3,0.9621404903162256,0.9482072736836099,0.9138102531433105,16,0.8121720881427072,0,0,0,0,0,0.0,1,0.2,8,0.125,0.9906883347720673,0.9830154847028588,0.013933216632615708,1,0,0.7664950174236793,0.7688338493292054
000000,000014,known_mask_ranker,31,32,1,16,3,0.9344959855079651,0.9342860579490662,0.9138102531433105,16,0.8121720881427072,0,0,1,1,1,0.3333333333333333,2,0.4,9,0.1111111111111111,0.9966698621176819,0.9931346447974105,0.00020992755889892578,1,0,0.7664950174236793,0.7688338493292054
000000,000015,heuristic_dataset_masks,31,33,2,18,18,0.9847759163564037,0.9847759163564037,0.9052461385726929,16,0.6604226705091258,1,1,1,1,1,0.3333333333333333,2,0.4,1,1.0,0.9928323215713337,0.9889136957822857,0.0,3,1,0.7458330536438059,0.7554869008745262
